Timestamp,"Considerando sua última experiência com essas características, ela foi Obrigatória ou Opcional?",Qual é a sua idade?,Com qual gênero você se identifica?,Em que Estado você reside? ,Qual é o seu mais alto grau de instrução?,Qual seu tempo total de experiência na engenharia de software?,Qual das alternativas abaixo descreve seu nível profissional atual?,Quantos funcionários a empresa possui? ,Qual é a sua principal área de atuação na engenharia de software no momento? , [Entendi como o experiência de aprendizado se conectou com os objetivos da empresa.]," [Tive o apoio e os recursos necessários (tempo, tecnologia, suporte) da empresa para realizar esta experiência de aprendizado.]", [O conteúdo da experiência de aprendizado atendeu às necessidades da minha função.], [O conteúdo da experiência de aprendizado foi adaptado ao meu nível de experiência.], [Minha opinião foi considerada na criação da experiência de aprendizado que participei.]," [A carga horária desta experiência de aprendizado prejudicou meu tempo pessoal (descanso, vida social).]", [A experiência de aprendizado foi importante para me manter competitivo(a) no mercado.], [O que aprendi na experiência de aprendizado me motivou a buscar novos conhecimentos.], [A liderança da minha área incentivou ativamente minha participação na experiência de aprendizado.], [Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.], [Participei desta experiência de aprendizado mais por obrigação do que por interesse no conteúdo.]," [A empresa ofereceu incentivos claros para a participação nesta experiência de aprendizado (ex: bônus, folgas, ressarcimento de custos, pontuação em avaliação de desempenho).]"," [A empresa costuma reconhecer os funcionários que se desenvolvem e concluem treinamentos (ex: através de certificados, elogios públicos, comunicados).]", [A experiência de aprendizado que participei foi bem organizado e estruturado.], [Os materiais que recebi para a experiência de aprendizado foram úteis.], [O ambiente da experiência de aprendizado (físico ou virtual) foi adequado para o aprendizado.], [A explicação do instrutor foi clara e fácil de entender.], [A atuação do instrutor foi fundamental para o meu aprendizado e motivação.], [As atividades durante a experiência de aprendizado foram interessantes e variadas.], [A experiência de aprendizado continha uma parte relevante dedicada ao desenvolvimento de soft skills (habilidades comportamentais).], [Fiquei satisfeito(a) com a qualidade da experiência de aprendizado que participei.], [A experiência de aprendizado me ajudou a desenvolver meu raciocínio para resolver problemas.], [Aplicar o que aprendi na experiência de aprendizado melhorou meu desempenho.], [Consigo aplicar no meu trabalho o que aprendi na experiência de aprendizado.], [O que aprendi na experiência de aprendizado me deu mais autonomia no trabalho.], [O suporte da minha liderança foi um incentivo para eu aplicar o que aprendi.], [A experiência de aprendizado que realizei abriu oportunidades de crescimento na empresa (promoção ou aumento salarial).],Qual foi a experiência de aprendizado mais útil que você já fez? Por quê?,"Se você pudesse sugerir uma melhoria nos processos de aprendizado, qual seria?",Column 39,Soube quem na sua empresa foi o responsável por organizar a experiência de aprendizado.,"Exite alguma coisa que vocês gostaria de comentar e não teve oportuni-
dade sobre o tema?"
9/10/2025 10:37:57,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",47,Feminino,Rio Grande do Sul (RS),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Neutro,Discordo,Discordo,Neutro,Discordo totalmente,Concordo,Discordo,Discordo,Discordo,Discordo totalmente,Neutro,Neutro,Discordo,Concordo,Neutro,Concordo,Neutro,Discordo,Concordo,Neutro,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Segurança ,"Conversar com o time, entender as necessidades e só então disponibilizar cursos que atendam ao time.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/10/2025 12:36:09,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",39,Masculino,São Paulo (SP),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Gerente (Foco em pessoas),100 ou mais funcionários (Grande empresa),Gestão de Pessoas / Projetos,Concordo,Concordo totalmente,Concordo,Concordo,Discordo,Discordo totalmente,Neutro,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Neutro,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Congressos,escolha do tópico e tempo requerido,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/10/2025 16:28:16,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",33,Feminino,São Paulo (SP),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo,Concordo,Neutro,Concordo,Discordo,Discordo,Discordo,Neutro,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Neutro,Concordo,Concordo,Discordo,Discordo,Discordo,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/10/2025 18:31:02,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",34,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 3 e 4 anos.,Pleno,De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Neutro,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Discordo totalmente,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Neutro,Neutro,Curso de segurança digital,"Demonstrar o aprendizado em contextos reais, além dos exemplos dados.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/10/2025 20:37:59,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",26,Masculino,Pernambuco (PE),Ensino Superior completo,Entre 1 e 2 anos.,Em treinamento,De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Neutro,Neutro,Concordo totalmente,Concordo,Concordo totalmente,Discordo,Discordo totalmente,Neutro,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Neutro,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Integração de dados entre diversas plataformas. Manter a consistência de dados é desafiador. Há muitas possibilidades e precisa de calma para integrar corretamente.,"Para alguns assuntos, é preciso uma base prévia de estudo. Talvez a falta de um conhecimento base, torne algo mais difícil do que realmente deveria ser.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/10/2025 21:11:06,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",31,Masculino,Amazonas (AM),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Arquitetura,Concordo totalmente,Discordo,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Neutro,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/11/2025 13:09:35,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",21,Feminino,Pernambuco (PE),Ensino Superior completo,Entre 1 e 2 anos.,Júnior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo,Neutro,Concordo,Concordo,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,"ABAP para funcionais, sou analista funcional de SAP e dependia de outros colegas para entender o código ABAP e ter tido um aprendizado mesmo que breve me ajuda a seguir com mais independência nas demandas",Que ele fosse realizado com certa constância ,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/11/2025 17:25:14,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",35,Feminino,Espírito Santo (ES),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Gerente (Foco em pessoas),100 ou mais funcionários (Grande empresa),Gestão de Pessoas / Projetos,Discordo totalmente,Discordo totalmente,Discordo,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Neutro,Discordo,Discordo,Discordo,Concordo,Discordo,Neutro,Discordo,Discordo,Concordo,Discordo,Discordo,Neutro,Discordo,Neutro,Discordo,Concordo,Discordo,Discordo,Discordo,"Oficina Lean e Ágil. Foi uma experiência presencial no centro de educação corporativa da empresa autoglass. Essa experiência foi extremamente positiva, acredito que a didática do instrutor e o domínio do tema foi fundamental. Fizemos também diversas atividades práticas para aplicar os métodos. Além disso algumas atividades eram bastante lúdicas e divertidas. A carga horária também era adequada e permitiu que a gente se aprofundasse no tema sem precisar correr. ",Avaliar primeiramente o interesse da pessoa em relação ao tema a ser aprendido. Além disso planejar atividades práticas e investir em boa didática do instrutor. ,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/11/2025 19:40:44,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",35,Masculino,Maranhão (MA),Ensino Superior completo,Entre 7 e 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/11/2025 21:13:50,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",33,Masculino,São Paulo (SP),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Neutro,Discordo,Neutro,Neutro,Discordo,Neutro,Neutro,Neutro,Discordo,Discordo,Neutro,Discordo,Discordo,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Concordo,Neutro,Discordo,Discordo,Evento presencial pelo network e envolvimento real.,Apoio e suporte para participação nesses eventos.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/11/2025 21:44:15,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",41,Masculino,Minas Gerais (MG),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Neutro,Discordo,Concordo totalmente,Discordo totalmente,Neutro,Neutro,Neutro,Concordo,Concordo,Neutro,Neutro,Discordo,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Não lembro de nenhuma,Consultar o time quais experiências profissional de interesse são relevante para o trabalho.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 7:10:48,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",41,Masculino,Goiás (GO),Ensino Superior completo,Entre 3 e 4 anos.,Sênior,De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Discordo totalmente,Neutro,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 10:03:28,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",38,Masculino,São Paulo (SP),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Área de dados,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Neutro,Discordo totalmente,Concordo,Concordo,Neutro,Concordo,Neutro,Concordo,Neutro,Graduação ,"Uma volta ao ambiente clássico de aprendizado, menos interação e mais conteúdo.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 10:16:47,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",30,Masculino,Maranhão (MA),Ensino Superior completo,Entre 7 e 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Neutro,Concordo,Neutro,Discordo,Discordo,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 11:14:22,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",32,Masculino,São Paulo (SP),Ensino Superior completo,Mais de 8 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Discordo totalmente,Concordo,Concordo,Neutro,Concordo,Neutro,Neutro,Neutro,Neutro,Neutro,Discordo,Neutro,Discordo,Discordo totalmente,Discordo totalmente,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 14:55:25,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",47,Feminino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Gerente (Foco em pessoas),De 50 a 99 funcionários (Média empresa),Gestão de Pessoas / Projetos,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Discordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Neutro,Discordo totalmente,Discordo totalmente,"O treinamento do Empretec, prático, teórico e muito incentivador.",Acredito que as empresas as vezes apenas dão o incentivo financeiro e/ou de tempo (liberando o colaborador) mas não reconhecem o esforço nem apresentam para a empresa como um todo para que possa servir de incentivo para os demais colegas.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 16:57:00,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",38,Masculino,Alagoas (AL),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),De 10 a 49 funcionários (Pequena empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Usar a IA como ferramenta de produtividade. Fiquei mais produtivo.,Sem comentários!,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 17:03:37,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",23,Feminino,São Paulo (SP),Ensino Superior completo,Entre 1 e 2 anos.,Em treinamento,100 ou mais funcionários (Grande empresa),Design (UI/UX),Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Neutro,Neutro,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Concordo,Concordo totalmente,Concordo,Neutro,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 17:34:04,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",43,Feminino,Ceará (CE),Ensino Superior completo,Entre 7 e 8 anos.,Pleno,De 50 a 99 funcionários (Média empresa),Controle de Qualidade (QA),Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,Discordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,As voltadas para a área de Qualidade visto que é a minha área de atuação.,Sugeriria Cursos e Treinamentos com material mais robusto de forma a aprofundar mais o conhecimento.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 17:52:56,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",33,Masculino,Pernambuco (PE),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 5 e 6 anos.,Sênior,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Discordo,Neutro,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Discordo,Concordo,Discordo,Concordo totalmente,Neutro,Neutro,Neutro,Concordo,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Concordo,Neutro,Discordo,Discordo,Discordo,Discordo,Discordo,Palestra sobre testes em softwares. Foram visto conceitos facilmente aplicáveis no dia a dia.,"Processo mais dinâmicos, talvez gamificações.",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 18:05:26,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",28,Masculino,Goiás (GO),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Sênior,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Concordo totalmente,Neutro,Discordo,Neutro,Neutro,Concordo,Concordo,Concordo,Concordo totalmente,Neutro,Discordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo totalmente,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,"um programa de ensino na minha empresa, onde lideres de diversas areas dão cursos sobre assuntos importantes para a suas tecnologias, e sobre tecnologias que vão ser importantes no futuro","Por mais que a empresa incentive a participação, os prazos do projeto continuam os mesmos e sempre tem reuniões importantes que não podem ser desmarcadas. O ideal seria ter um tempo reservado para estudos, onde nesse tempo apenas o estudo fosse o foco",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 18:09:28,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",30,Feminino,Pernambuco (PE),Ensino Superior completo,Entre 3 e 4 anos.,Júnior,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Neutro,Concordo,Neutro,Neutro,Discordo,Concordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Neutro,Automação web com Robot pois irá me destacar na minha função hoje.,identificar o nível de conhecimento da pessoa naquele processo. Pois acontece do treinamento ser muito avançado para quem aind anão sabe o básico ou muito básico para quem já tem um conhecimento.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 18:22:19,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",33,Feminino,Rio Grande do Sul (RS),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 7 e 8 anos.,Pleno,De 50 a 99 funcionários (Média empresa),Desenvolvimento,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,"Reuniões de capítulo com colegas da área e discussões sobre possíveis soluções para resoluções de problemas do produto. Ambas as experiências me permitiram expandir conhecimento, trocar experiências e evoluir profissionalmente",Permitir que seja utilizado um tempo maior do expediente para se dedicar aos processos de aprendizado,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 18:45:13,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.",25,Masculino,Pernambuco (PE),Ensino Superior incompleto,Entre 5 e 6 anos.,Pleno,100 ou mais funcionários (Grande empresa),Controle de Qualidade (QA),Neutro,Concordo,Discordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo,Discordo,Concordo,Neutro,Concordo totalmente,Discordo totalmente,Discordo,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Neutro,Neutro,Discordo,Discordo,Discordo totalmente,Discordo,Concordo,Discordo,Neutro,Discordo totalmente,"Acho que as experiências de aprendizado mais uteis que tive, foram as presenciais, onde havia um tempo dedicado para aquela atividade e trocas com a turma, e não somente assistir vídeos de cursos.","Embora seja dado um tempo considerável para a realização dos cursos, temos que saber administrar com a carga horaria do trabalho.
Talvez um tempo unicamente dedicado para os treinamentos fosse a melhor alternativa",Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/12/2025 20:17:05,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",31,Masculino,São Paulo (SP),Ensino Superior completo,Mais de 8 anos.,Gerente (Foco em pessoas),De 10 a 49 funcionários (Pequena empresa),Gestão de Pessoas / Projetos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Concordo,Neutro,Concordo,Neutro,Neutro,Discordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Neutro,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/12/2025 20:17:33,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",46,Masculino,Alagoas (AL),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Gerente (Foco em pessoas),100 ou mais funcionários (Grande empresa),DevOps,Concordo totalmente,Discordo totalmente,Concordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,Discordo,Discordo totalmente,Concordo,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Concordo totalmente,O Mestrado. Pois ampliou minhas competências ,Organização geral.,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Não,
9/13/2025 8:50:33,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",44,Masculino,Alagoas (AL),"Pós-graduação incompleta (Especialização, Mestrado ou Doutorado)",Mais de 8 anos.,Especialista (Foco técnico),100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,"Mestrado, me mostrou como fazer pesquisa e de como é bom estudar ",Adaptação ao contexto do aluno.acredito que com isso ele aprende mais fácil e percebe mais facilmente como aplicar aquele conhecimento ,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
9/15/2025 9:28:39,"Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",23,Masculino,Paraíba (PB),"Pós-graduação completa (Especialização, Mestrado ou Doutorado)",Entre 3 e 4 anos.,Sênior,100 ou mais funcionários (Grande empresa),Desenvolvimento,Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Discordo,Concordo,Concordo,Neutro,Concordo,Neutro,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Neutro,,,Lí o Termo de Consentimento Livre e Esclarecido e concordo em participar voluntariamente.,Sim,
